epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,7049.32,0.2108,0.27582,0.23101,0.81809,0,0.58484,0.27596,0.31731,0.26804,0.57979,0.27066,0.30985,0.25284,1.02343,1.84837,3.16433,1.57839,0,3.09036e-05,3.09036e-05,3.09036e-05
83,7136.01,0.21148,0.27539,0.23109,0.81884,0,0.58577,0.27625,0.31307,0.26491,0.58056,0.2686,0.30426,0.24898,0.97373,1.80702,3.15598,1.53235,0,2.93592e-05,2.93592e-05,2.93592e-05
84,7222.37,0.20833,0.27089,0.22342,0.81453,0,0.59753,0.28209,0.3248,0.27455,0.59124,0.27696,0.31893,0.25951,0.99463,1.79437,3.13044,1.55032,0,2.78148e-05,2.78148e-05,2.78148e-05
85,7308.25,0.20828,0.26892,0.22492,0.81689,0,0.58468,0.26466,0.30371,0.25316,0.57726,0.25958,0.29745,0.23996,1.05963,1.96775,3.27356,1.62733,0,2.62704e-05,2.62704e-05,2.62704e-05
86,7393.92,0.21097,0.27372,0.22959,0.81654,0,0.56483,0.24408,0.2831,0.23765,0.55466,0.23791,0.27488,0.22304,1.1057,2.08282,3.42631,1.69212,0,2.4726e-05,2.4726e-05,2.4726e-05
87,7479.65,0.20872,0.26854,0.22493,0.81705,0,0.56035,0.23765,0.272,0.23029,0.55339,0.23185,0.26599,0.21798,1.10731,2.00461,3.4467,1.69807,0,2.31816e-05,2.31816e-05,2.31816e-05
88,7566.47,0.20679,0.26907,0.22266,0.81615,0,0.55365,0.23633,0.27556,0.23256,0.55024,0.23305,0.27038,0.21989,1.12218,2.01644,3.43345,1.71741,0,2.16372e-05,2.16372e-05,2.16372e-05
89,7652.72,0.20872,0.27085,0.22458,0.81754,0,0.55283,0.23725,0.27852,0.23622,0.54861,0.23259,0.27259,0.22316,1.12587,2.02373,3.46213,1.71788,0,2.00928e-05,2.00928e-05,2.00928e-05
90,7739.49,0.20655,0.26881,0.21966,0.81725,0,0.5774,0.24694,0.28864,0.24377,0.57338,0.24264,0.28236,0.23108,1.11524,2.02684,3.40905,1.71262,0,1.85484e-05,1.85484e-05,1.85484e-05
91,7825.81,0.16699,0.22617,0.18226,0.7843,0,0.60937,0.28316,0.32719,0.27977,0.60579,0.27892,0.32352,0.26404,0.97718,1.86643,3.23048,1.52374,0,1.7004e-05,1.7004e-05,1.7004e-05
92,7908.86,0.16368,0.22323,0.17174,0.78383,0,0.59877,0.29148,0.33065,0.28476,0.59805,0.2881,0.32825,0.2688,0.95245,1.827,3.15837,1.49063,0,1.54596e-05,1.54596e-05,1.54596e-05
93,7991.8,0.15988,0.21799,0.16952,0.78414,0,0.61037,0.28676,0.32491,0.27801,0.60878,0.28292,0.32267,0.2633,0.95631,1.84153,3.19797,1.50556,0,1.39152e-05,1.39152e-05,1.39152e-05
94,8074.87,0.15811,0.21639,0.16665,0.78475,0,0.62129,0.28726,0.33152,0.28389,0.62012,0.28363,0.32778,0.26853,0.9561,1.82728,3.18595,1.50655,0,1.23708e-05,1.23708e-05,1.23708e-05
95,8158.05,0.15769,0.21921,0.16426,0.78058,0,0.62005,0.29441,0.34001,0.29302,0.61647,0.28944,0.33509,0.27574,0.95104,1.85967,3.17162,1.49953,0,1.08264e-05,1.08264e-05,1.08264e-05
96,8241.2,0.15451,0.21671,0.16254,0.783,0,0.61701,0.28935,0.33836,0.29275,0.61553,0.28587,0.33537,0.27697,0.95004,1.80672,3.15081,1.50058,0,9.282e-06,9.282e-06,9.282e-06
97,8323.68,0.15517,0.21791,0.16053,0.78238,0,0.60351,0.28751,0.33855,0.29226,0.60302,0.28491,0.33543,0.27753,0.95769,1.79975,3.15263,1.50936,0,7.7376e-06,7.7376e-06,7.7376e-06
98,8405.87,0.15319,0.21716,0.15921,0.78106,0,0.59656,0.29058,0.33978,0.29332,0.59579,0.2871,0.33677,0.27889,0.95259,1.7875,3.13766,1.50569,0,6.1932e-06,6.1932e-06,6.1932e-06
99,8488.29,0.15282,0.21733,0.16067,0.78025,0,0.59993,0.29044,0.3388,0.29262,0.59909,0.28691,0.33708,0.27841,0.95297,1.79226,3.14947,1.50472,0,4.6488e-06,4.6488e-06,4.6488e-06
100,8570.84,0.15115,0.21649,0.15856,0.78516,0,0.59302,0.29057,0.33973,0.29289,0.59133,0.28685,0.33764,0.27913,0.95013,1.77565,3.15209,1.50694,0,3.1044e-06,3.1044e-06,3.1044e-06
